customer_id,recency,frequency,monetary,total_quantity,average_rating,average_pages_viewed,average_time_on_site,total_cart_additions,cluster,segment,activity_score
1000,195,1,1228.72,7,3.5,17.5,1014.0,2,1,At Risk,14.2872
1001,9,0,0.0,4,4.0,15.0,996.0,0,0,Regular,0.0
1002,56,0,0.0,8,4.0,8.333333333333334,313.6666666666667,2,0,Regular,0.0
1003,26,1,1681.96,9,4.333333333333333,5.666666666666667,695.3333333333334,1,3,New Customer,18.8196
1004,94,0,0.0,5,4.0,12.333333333333334,923.6666666666666,1,0,Regular,0.0
1005,208,0,0.0,12,4.0,14.0,312.3333333333333,2,4,Lost,0.0
1006,96,0,0.0,8,4.0,13.5,1145.0,1,0,Regular,0.0
1007,139,0,0.0,1,4.0,22.0,557.0,0,0,Regular,0.0
1008,48,1,1546.42,11,4.0,9.8,829.2,2,3,New Customer,17.464199999999998
1009,99,3,4616.63,13,4.2,11.0,806.6,5,2,VIP,52.1663
1011,88,0,0.0,14,4.0,10.75,894.25,2,0,Regular,0.0
1012,234,0,0.0,4,4.0,12.666666666666666,700.0,1,4,Lost,0.0
1013,68,0,0.0,8,4.0,19.5,267.0,0,0,Regular,0.0
1014,16,1,2423.92,9,4.25,11.75,985.0,2,3,New Customer,26.2392
1015,316,0,0.0,2,4.0,3.0,1405.0,1,4,Lost,0.0
1016,46,0,0.0,4,4.0,2.0,1523.0,0,0,Regular,0.0
1017,161,0,0.0,8,4.0,10.0,565.5,1,4,Lost,0.0
1018,235,0,0.0,1,4.0,22.0,875.0,1,4,Lost,0.0
1019,213,0,0.0,1,4.0,10.0,1096.0,0,4,Lost,0.0
1020,49,0,0.0,13,4.0,10.25,1165.25,3,0,Regular,0.0
1021,111,0,0.0,14,4.0,6.6,1136.8,3,0,Regular,0.0
1022,11,0,0.0,3,4.0,6.0,1751.0,0,0,Regular,0.0
1023,283,0,0.0,5,4.0,5.5,325.0,1,4,Lost,0.0
1024,125,0,0.0,4,4.0,10.5,774.0,0,0,Regular,0.0
1025,5,0,0.0,4,4.0,5.0,582.0,2,0,Regular,0.0
1026,145,1,244.3,6,4.0,16.333333333333332,603.0,3,1,At Risk,4.443
1027,29,0,0.0,11,4.0,14.25,1235.5,0,0,Regular,0.0
1028,54,1,2328.44,15,4.0,11.4,956.6,4,3,New Customer,25.2844
1029,154,1,357.02,1,5.0,17.0,272.0,1,1,At Risk,5.5702
1030,188,0,0.0,5,4.0,8.666666666666666,792.3333333333334,1,4,Lost,0.0
1031,128,2,2231.42,11,4.25,19.25,1274.0,4,3,New Customer,26.3142
1032,60,0,0.0,8,4.0,11.25,973.75,1,0,Regular,0.0
1033,96,1,571.06,13,4.2,17.0,480.2,2,3,New Customer,7.7105999999999995
1034,19,0,0.0,3,4.0,19.0,1748.0,1,0,Regular,0.0
1035,136,1,325.77,11,4.0,12.25,733.0,3,3,New Customer,5.2577
1036,50,1,395.17,5,4.333333333333333,13.666666666666666,170.0,2,3,New Customer,5.951700000000001
1037,105,0,0.0,10,4.0,16.0,1087.0,2,0,Regular,0.0
1038,4,1,4503.98,11,4.0,7.75,1076.0,3,2,VIP,47.03979999999999
1039,14,2,1852.98,11,4.25,19.0,1146.5,3,3,New Customer,22.5298
1040,13,2,7417.69,15,3.6,5.0,1016.0,5,2,VIP,78.17689999999999
1041,120,1,1296.48,4,3.5,19.0,1041.5,2,3,New Customer,14.9648
1042,29,3,4330.68,12,4.4,14.2,525.2,5,2,VIP,49.3068
1043,65,0,0.0,4,4.0,17.0,152.0,1,0,Regular,0.0
1044,3,2,1008.62,22,3.5714285714285716,10.285714285714286,888.5714285714286,5,3,New Customer,14.0862
1045,43,0,0.0,8,4.0,16.0,868.0,1,0,Regular,0.0
1046,236,0,0.0,11,4.0,12.0,461.3333333333333,0,4,Lost,0.0
1047,115,1,922.92,12,4.2,9.8,783.2,3,3,New Customer,11.229199999999999
1048,283,0,0.0,12,4.0,13.333333333333334,1699.0,2,4,Lost,0.0
1049,177,0,0.0,8,4.0,13.25,951.75,2,4,Lost,0.0
1050,106,0,0.0,4,4.0,11.333333333333334,806.0,2,0,Regular,0.0
1051,154,0,0.0,4,4.0,16.333333333333332,715.0,1,4,Lost,0.0
