customer_id,session_id,visit_date,device_type,user_type,marketing_channel,product_id,product_category,unit_price,quantity,discount_percent,discount_amount,revenue,pages_viewed,time_on_site_sec,added_to_cart,purchased,cart_abandoned,rating,review_helpful_votes,payment_method,visit_day,visit_month,visit_weekday,visit_season,session_duration_bucket,revenue_normalized,location,calculated_revenue,purchase_value
1803,0,2024-11-28,2,1,2,894,6,651.57,1,20,130.31,0.0,21,965,1,0,1,4,0,1,28,11,3,0,Long,0.0,209,521.2560000000001,0.0
7964,1,2024-09-25,2,0,4,844,2,945.27,4,15,567.16,0.0,21,1158,0,0,0,4,0,2,25,9,2,0,Long,0.0,213,3213.9179999999997,0.0
6890,2,2024-05-31,1,1,0,865,0,400.44,4,0,0.0,0.0,19,710,1,0,1,4,0,2,31,5,4,1,Short,0.0,10,1601.76,0.0
4949,3,2024-01-30,1,0,2,851,3,1268.54,2,5,126.85,2410.23,19,1674,1,1,0,4,4,1,30,1,1,3,Very Long,0.305503869,46,2410.2259999999997,2410.23
4896,4,2024-02-25,1,1,5,794,3,880.81,3,0,0.0,0.0,13,427,1,0,1,4,0,1,25,2,6,3,Very Short,0.0,118,2642.43,0.0
8726,5,2024-03-29,1,0,4,481,3,458.42,2,10,91.68,0.0,6,949,1,0,1,4,0,1,29,3,4,1,Long,0.0,207,825.1560000000001,0.0
1773,6,2024-05-28,0,1,1,634,0,623.83,4,0,0.0,2495.32,15,1608,1,1,0,4,0,5,28,5,1,1,Very Long,0.316289281,175,2495.32,2495.32
7275,7,2024-11-19,1,0,4,225,6,1491.56,3,15,671.2,0.0,24,1169,0,0,0,4,0,4,19,11,1,0,Long,0.0,150,3803.478,0.0
2813,8,2024-02-13,1,1,3,628,2,791.88,2,0,0.0,0.0,18,285,1,0,1,4,0,2,13,2,1,3,Very Short,0.0,141,1583.76,0.0
1847,9,2024-07-29,1,0,4,664,7,164.42,4,10,65.77,0.0,6,476,1,0,1,4,0,1,29,7,0,2,Short,0.0,103,591.9119999999999,0.0
5737,10,2024-05-06,0,1,2,386,4,318.62,4,10,127.45,0.0,8,1557,0,0,0,4,0,1,6,5,0,1,Very Long,0.0,84,1147.0320000000002,0.0
9779,11,2024-01-18,0,1,0,594,4,103.54,2,20,41.42,0.0,24,1724,1,0,1,4,0,3,18,1,3,3,Very Long,0.0,145,165.66400000000002,0.0
7621,12,2024-08-14,1,0,4,379,6,373.33,4,5,74.67,0.0,4,309,0,0,0,4,0,5,14,8,2,2,Very Short,0.0,169,1418.6539999999998,0.0
7849,13,2024-09-14,0,0,5,786,7,682.23,1,10,68.22,0.0,5,1273,0,0,0,4,0,4,14,9,5,0,Long,0.0,155,614.0070000000001,0.0
7456,14,2024-12-16,0,1,0,175,2,837.89,2,25,418.94,0.0,5,1462,0,0,0,4,0,5,16,12,0,3,Very Long,0.0,167,1256.835,0.0
8073,15,2024-07-03,1,1,3,766,7,1151.07,2,15,345.32,0.0,16,143,0,0,0,4,0,2,3,7,2,2,Very Short,0.0,135,1956.8189999999997,0.0
5618,16,2024-04-28,1,1,2,691,0,693.68,1,0,0.0,0.0,10,180,1,0,1,4,0,0,28,4,6,1,Very Short,0.0,85,693.68,0.0
2152,17,2024-11-07,0,0,3,250,1,481.83,4,0,0.0,0.0,19,1019,1,0,1,4,0,4,7,11,3,0,Long,0.0,51,1927.32,0.0
8556,18,2024-03-31,0,1,1,145,7,687.69,1,0,0.0,0.0,1,200,1,0,1,4,0,3,31,3,6,1,Very Short,0.0,25,687.69,0.0
5053,19,2024-09-06,1,0,0,525,3,806.73,3,0,0.0,0.0,18,1168,0,0,0,4,0,0,6,9,4,0,Long,0.0,194,2420.19,0.0
5502,20,2024-12-10,2,0,4,842,6,1374.55,4,15,824.73,0.0,21,1781,1,0,1,4,0,2,10,12,1,3,Very Long,0.0,155,4673.469999999999,0.0
4336,21,2024-01-02,1,1,4,394,1,361.79,4,0,0.0,0.0,18,720,1,0,1,4,0,2,2,1,1,3,Short,0.0,197,1447.16,0.0
2642,22,2024-12-03,1,1,5,237,7,557.98,1,15,83.7,0.0,17,1526,1,0,1,4,0,2,3,12,1,3,Very Long,0.0,145,474.283,0.0
9339,23,2024-03-16,0,0,2,835,2,799.51,1,10,79.95,719.56,22,943,1,1,0,5,16,2,16,3,5,1,Long,0.091206384,88,719.559,719.56
8033,24,2024-06-24,1,1,2,567,3,853.62,2,20,341.45,0.0,9,26,1,0,1,4,0,4,24,6,0,2,Very Short,0.0,40,1365.7920000000001,0.0
6794,25,2024-04-04,1,0,4,367,7,667.9,1,5,33.4,634.5,8,1454,1,1,0,5,8,2,4,4,3,1,Very Long,0.080424775,135,634.505,634.5
4621,26,2024-02-22,1,0,3,376,0,927.81,2,20,371.12,0.0,9,1105,1,0,1,4,0,3,22,2,3,3,Long,0.0,136,1484.496,0.0
8404,27,2024-09-13,1,1,0,57,1,161.8,3,10,48.54,0.0,7,604,0,0,0,4,0,3,13,9,4,0,Short,0.0,36,436.86,0.0
5908,28,2024-06-24,0,1,3,750,6,1159.83,4,0,0.0,0.0,11,1396,1,0,1,4,0,4,24,6,0,2,Very Long,0.0,62,4639.32,0.0
4990,29,2024-07-04,0,1,1,440,7,1014.28,1,0,0.0,0.0,1,1503,1,0,1,4,0,4,4,7,3,2,Very Long,0.0,215,1014.28,0.0
5053,30,2024-06-25,1,1,5,722,1,511.8,4,10,204.72,0.0,12,169,1,0,1,4,0,0,25,6,1,2,Very Short,0.0,31,1842.48,0.0
3044,31,2024-09-29,0,0,1,207,4,180.12,2,20,72.05,0.0,16,526,1,0,1,4,0,0,29,9,6,0,Short,0.0,20,288.192,0.0
1829,32,2024-12-18,1,0,1,72,4,437.0,4,20,349.6,1398.4,10,610,1,1,0,5,4,4,18,12,2,3,Short,0.177251387,104,1398.4,1398.4
5990,33,2024-07-06,1,1,2,9,5,560.82,4,0,0.0,0.0,12,689,0,0,0,4,0,5,6,7,5,2,Short,0.0,120,2243.28,0.0
8990,34,2024-02-26,0,1,5,551,1,789.99,1,0,0.0,789.99,24,121,1,1,0,4,11,0,26,2,0,3,Very Short,0.100133598,176,789.99,789.99
1574,35,2024-04-29,1,0,5,819,3,837.27,2,10,167.45,0.0,10,415,0,0,0,4,0,4,29,4,0,1,Very Short,0.0,152,1507.086,0.0
8723,36,2024-06-30,1,0,4,657,3,855.27,2,15,256.58,0.0,1,541,1,0,1,4,0,4,30,6,6,2,Short,0.0,33,1453.9589999999998,0.0
8447,37,2024-02-07,1,1,2,604,3,1140.72,3,0,0.0,0.0,1,449,1,0,1,4,0,3,7,2,2,3,Very Short,0.0,106,3422.16,0.0
3490,38,2024-03-24,0,1,2,462,2,1434.14,3,0,0.0,0.0,17,702,1,0,1,4,0,4,24,3,6,1,Short,0.0,196,4302.42,0.0
6684,39,2024-03-14,0,0,2,105,6,1937.8,4,0,0.0,0.0,19,892,0,0,0,4,0,3,14,3,3,1,Short,0.0,17,7751.2,0.0
2486,40,2024-12-21,0,1,3,504,2,986.19,1,0,0.0,986.19,15,1728,1,1,0,1,30,0,21,12,5,3,Very Long,0.125002535,25,986.19,986.19
7822,41,2024-05-26,0,1,5,341,3,450.96,4,20,360.77,0.0,11,583,1,0,1,4,0,1,26,5,6,1,Short,0.0,99,1443.0720000000001,0.0
7304,42,2024-11-16,1,0,3,98,1,384.67,4,5,76.93,0.0,10,1627,1,0,1,4,0,3,16,11,5,0,Very Long,0.0,135,1461.746,0.0
4190,43,2024-07-20,0,0,1,250,5,464.23,4,20,371.38,1485.54,2,769,1,1,0,5,49,4,20,7,5,2,Short,0.188296643,170,1485.536,1485.54
1611,44,2024-07-03,0,1,0,621,7,829.96,1,20,165.99,0.0,1,36,1,0,1,4,0,4,3,7,2,2,Very Short,0.0,32,663.9680000000001,0.0
9735,45,2024-12-08,2,1,1,733,0,344.48,3,30,310.03,0.0,14,1518,0,0,0,4,0,2,8,12,6,3,Very Long,0.0,82,723.408,0.0
5010,46,2024-09-09,0,0,4,277,2,1113.7,1,5,55.68,1058.02,18,819,1,1,0,1,26,1,9,9,0,0,Short,0.134107203,86,1058.015,1058.02
9037,47,2024-03-28,0,1,4,626,1,601.67,2,10,120.33,1083.01,8,159,1,1,0,5,42,4,28,3,3,1,Very Short,0.13727476,7,1083.0059999999999,1083.01
7100,48,2024-04-12,1,1,3,895,6,420.59,2,0,0.0,0.0,1,1736,1,0,1,4,0,5,12,4,4,1,Very Long,0.0,3,841.18,0.0
8004,49,2024-08-31,1,1,1,98,3,1472.25,1,15,220.84,0.0,20,361,0,0,0,4,0,3,31,8,5,2,Very Short,0.0,206,1251.4125,0.0
7838,50,2024-01-01,0,0,1,338,2,1963.8,4,10,785.52,0.0,18,1257,1,0,1,4,0,3,1,1,0,3,Long,0.0,90,7069.68,0.0
2751,51,2024-02-25,2,0,3,5,1,324.28,3,10,97.28,0.0,6,499,1,0,1,4,0,0,25,2,6,3,Short,0.0,111,875.5559999999999,0.0
4274,52,2024-01-28,1,0,3,149,1,182.24,4,0,0.0,0.0,16,434,0,0,0,4,0,3,28,1,6,3,Very Short,0.0,15,728.96,0.0
5200,53,2024-09-17,0,1,4,737,1,312.41,4,5,62.48,0.0,13,930,1,0,1,4,0,0,17,9,1,0,Long,0.0,3,1187.1580000000001,0.0
5479,54,2024-06-10,0,1,1,735,6,1369.26,4,20,1095.41,0.0,7,168,1,0,1,4,0,4,10,6,0,2,Very Short,0.0,200,4381.6320000000005,0.0
1394,55,2024-01-05,2,0,4,838,6,488.23,2,10,97.65,0.0,16,1594,1,0,1,4,0,3,5,1,4,3,Very Long,0.0,210,878.8140000000001,0.0
5918,56,2024-09-27,0,1,4,561,5,625.98,1,10,62.6,563.38,5,1242,1,1,0,4,23,0,27,9,4,0,Long,0.071410102,92,563.3820000000001,563.38
2388,57,2024-08-27,1,0,3,864,1,162.17,2,0,0.0,0.0,20,1307,0,0,0,4,0,2,27,8,1,2,Long,0.0,46,324.34,0.0
7689,58,2024-09-19,0,1,3,658,7,1003.8,4,0,0.0,0.0,13,1687,1,0,1,4,0,4,19,9,3,0,Very Long,0.0,147,4015.2,0.0
7146,59,2024-02-29,0,1,4,106,7,752.04,2,0,0.0,0.0,19,889,1,0,1,4,0,2,29,2,3,3,Short,0.0,137,1504.08,0.0
9301,60,2024-11-15,1,0,3,418,3,1493.22,2,0,0.0,0.0,8,1211,1,0,1,4,0,2,15,11,4,0,Long,0.0,70,2986.44,0.0
7702,61,2024-03-06,2,0,4,351,3,702.87,2,10,140.57,0.0,9,508,0,0,0,4,0,4,6,3,2,1,Short,0.0,99,1265.166,0.0
