customer_id,total_sessions,total_purchases,total_revenue,average_order_value,average_pages_viewed,average_time_on_site,average_rating,total_quantity,average_discount,cart_additions,cart_abandoned,purchase_rate,abandonment_rate,cluster,customer_segment
1000,2,1,1228.72,614.36,17.5,1014.0,3.5,7,17.5,2,1,0.5,0.5,2,Regular
1001,1,0,0.0,0.0,15.0,996.0,4.0,4,0.0,0,0,0.0,0.0,1,Occasional
1002,3,0,0.0,0.0,8.333333333333334,313.6666666666667,4.0,8,3.333333333333333,2,2,0.0,1.0,1,Occasional
1003,3,1,1681.96,560.6533333333333,5.666666666666667,695.3333333333334,4.333333333333333,9,11.666666666666666,1,0,0.3333333333333333,0.0,2,Regular
1004,3,0,0.0,0.0,12.333333333333334,923.6666666666666,4.0,5,16.666666666666668,1,1,0.0,1.0,1,Occasional
1005,3,0,0.0,0.0,14.0,312.3333333333333,4.0,12,15.0,2,2,0.0,1.0,1,Occasional
1006,2,0,0.0,0.0,13.5,1145.0,4.0,8,10.0,1,1,0.0,1.0,1,Occasional
1007,1,0,0.0,0.0,22.0,557.0,4.0,1,20.0,0,0,0.0,0.0,1,Occasional
1008,5,1,1546.42,309.284,9.8,829.2,4.0,11,17.0,2,1,0.2,0.5,2,Regular
1009,5,3,4616.63,923.326,11.0,806.6,4.2,13,12.0,5,2,0.6,0.4,0,Premium
1011,4,0,0.0,0.0,10.75,894.25,4.0,14,5.0,2,2,0.0,1.0,1,Occasional
1012,3,0,0.0,0.0,12.666666666666666,700.0,4.0,4,8.333333333333334,1,1,0.0,1.0,1,Occasional
1013,2,0,0.0,0.0,19.5,267.0,4.0,8,0.0,0,0,0.0,0.0,1,Occasional
1014,4,1,2423.92,605.98,11.75,985.0,4.25,9,5.0,2,1,0.25,0.5,2,Regular
1015,1,0,0.0,0.0,3.0,1405.0,4.0,2,0.0,1,1,0.0,1.0,1,Occasional
1016,1,0,0.0,0.0,2.0,1523.0,4.0,4,30.0,0,0,0.0,0.0,1,Occasional
1017,2,0,0.0,0.0,10.0,565.5,4.0,8,5.0,1,1,0.0,1.0,1,Occasional
1018,1,0,0.0,0.0,22.0,875.0,4.0,1,15.0,1,1,0.0,1.0,1,Occasional
1019,1,0,0.0,0.0,10.0,1096.0,4.0,1,10.0,0,0,0.0,0.0,1,Occasional
1020,4,0,0.0,0.0,10.25,1165.25,4.0,13,6.25,3,3,0.0,1.0,1,Occasional
1021,5,0,0.0,0.0,6.6,1136.8,4.0,14,9.0,3,3,0.0,1.0,1,Occasional
1022,1,0,0.0,0.0,6.0,1751.0,4.0,3,0.0,0,0,0.0,0.0,1,Occasional
1023,2,0,0.0,0.0,5.5,325.0,4.0,5,5.0,1,1,0.0,1.0,1,Occasional
1024,2,0,0.0,0.0,10.5,774.0,4.0,4,0.0,0,0,0.0,0.0,1,Occasional
1025,2,0,0.0,0.0,5.0,582.0,4.0,4,7.5,2,2,0.0,1.0,1,Occasional
1026,3,1,244.3,81.43333333333334,16.333333333333332,603.0,4.0,6,5.0,3,2,0.3333333333333333,0.6666666666666666,2,Regular
1027,4,0,0.0,0.0,14.25,1235.5,4.0,11,3.75,0,0,0.0,0.0,1,Occasional
1028,5,1,2328.44,465.688,11.4,956.6,4.0,15,5.0,4,3,0.2,0.75,2,Regular
1029,1,1,357.02,357.02,17.0,272.0,5.0,1,15.0,1,0,1.0,0.0,1,Occasional
1030,3,0,0.0,0.0,8.666666666666666,792.3333333333334,4.0,5,0.0,1,1,0.0,1.0,1,Occasional
